artist,born-died,period,school,url,base,nationality
"AACHEN, Hans von",(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German
"AAGAARD, Carl Frederik",(1833-1895),Realism,painter,https://www.wga.hu/html/a/aagaard/index.html,Copenhagen,Danish
"ABADIA, Juan de la",(active 1470-1490),Early Renaissance,painter,https://www.wga.hu/html/a/abadia/index.html,Huesca,Spanish
"ABADIE, Paul",(1812-1884),Art Nouveau,architect,https://www.wga.hu/html/a/abadie/index.html,Paris,French
"ABAQUESNE, Masséot",(c 1500-1564),High Renaissance,potter,https://www.wga.hu/html/a/abaquesn/index.html,France,French
"ABBATE, Niccolò dell'",(1509-1571),Mannerism,painter,https://www.wga.hu/html/a/abbate/index.html,Bologna,Italian
"ABBATI, Giuseppe",(1836-1868),Realism,painter,https://www.wga.hu/html/a/abbati/index.html,Italy,Italian
"ABBATINI, Guido Ubaldo",(c. 1602-1656),Baroque,painter,https://www.wga.hu/html/a/abbatini/index.html,Rome,Italian
"ABEELE, Pieter van",(1608-1684),Baroque,sculptor,https://www.wga.hu/html/a/abeele/index.html,Amsterdam,Dutch
"ABILDGAARD, Nicolai",(1743-1809),Romanticism,painter,https://www.wga.hu/html/a/abildgaa/index.html,Denmark,Danish
"ABONDIO, Antonio",(1538-1591),Mannerism,sculptor,https://www.wga.hu/html/a/abondio/index.html,Vienna,Italian
"ACERO Y AREBO, Vicente",(c. 1677-1739),Baroque,architect,https://www.wga.hu/html/a/acero/index.html,Spain,Spanish
"ACHENBACH, Oswald",(1827-1905),Realism,painter,https://www.wga.hu/html/a/achenbac/index.html,Dusseldorf,German
"ADAM, Albrecht",(1786-1862),Romanticism,painter,https://www.wga.hu/html/a/adam1/index.html,Munich,German
"ADAM, Lambert-Sigisbert",(1700-1759),Baroque,sculptor,https://www.wga.hu/html/a/adam/lambert/index.html,Nancy,French
"ADAM, Nicolas-Sébastien",(1705-1778),Baroque,sculptor,https://www.wga.hu/html/a/adam/nicolas/index.html,Nancy,French
