ARTIST,BIRTH DATA,PROFESSION,SCHOOL,URL
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",painter,German,https://www.wga.hu/bio/a/aachen/biograph.html
"AAGAARD, Carl Frederik","(b. 1833, Odense, d. 1895, København)",painter,Danish,https://www.wga.hu/bio/a/aagaard/biograph.html
"ABADIA, Juan de la",(active 1470-1490 in Huesca),painter,Spanish,https://www.wga.hu/bio/a/abadia/biograph.html
"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",architect,French,https://www.wga.hu/bio/a/abadie/biograph.html
"ABAQUESNE, Masséot","(b. ca 1500, Cherbourg, d. 1564, Sotteville-lès-Rouen)",potter,French,https://www.wga.hu/bio/a/abaquesn/biograph.html
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",painter,Italian,https://www.wga.hu/bio/a/abbate/biograph.html
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",painter,Italian,https://www.wga.hu/bio/a/abbati/biograph.html
"ABBATINI, Guido Ubaldo","(b. ca. 1602, Città di Castello, d. 1656, Roma)",painter,Italian,https://www.wga.hu/bio/a/abbatini/biograph.html
"ABEELE, Pieter van","(b. 1608, Middelburg, d. 1684, Amsterdam)",sculptor,Dutch,https://www.wga.hu/bio/a/abeele/biograph.html
"ABILDGAARD, Nicolai","(b. 1743, København, d. 1809, Frederiksdal)",painter,Danish,https://www.wga.hu/bio/a/abildgaa/biograph.html
"ABONDIO, Antonio","(b. 1538, Riva del Garda, d. 1591, Wien)",sculptor,Italian,https://www.wga.hu/bio/a/abondio/biograph.html
"ACERO Y AREBO, Vicente","(b. ca. 1677, Cabárceno, d. 1739, Sevilla)",architect,Spanish,https://www.wga.hu/bio/a/acero/biograph.html
"ACHENBACH, Oswald","(b. 1827, Düsseldorf, d. 1905, Düsseldorf)",painter,German,https://www.wga.hu/bio/a/achenbac/biograph.html
"ADAM, Albrecht","(b. 1786, Nördlingen, d. 1862, München) ",painter,German,https://www.wga.hu/bio/a/adam1/biograph.html
"ADAM, Lambert-Sigisbert","(b. 1700, Nancy, d. 1759, Nancy)",sculptor,French,https://www.wga.hu/bio/a/adam/lambert/biograph.html
"ADAM, Nicolas-Sébastien","(b. 1705, Nancy, d. 1778, Paris)",sculptor,French,https://www.wga.hu/bio/a/adam/nicolas/biograph.html
"ADAM, Robert","(b. 1728,  Kirkcaldy, d. 1792, London)",architect,Scottish,https://www.wga.hu/bio/a/adam2/biograph.html
"ADAM-SALOMON, Antoine-Samuel","(b. 1818, La Ferte-sous-Jouarre, d. 1881, Paris)",sculptor,French,https://www.wga.hu/bio/a/adam-sal/biograph.html
"ADELCRANTZ, Carl Fredrik","(b. 1716, Stockholm, d. 1796, Stockholm)",architect,Swedish,https://www.wga.hu/bio/a/adelcran/biograph.html
"ADEMOLLO, Luigi","(b. 1764, Milano, d. 1849, Firenze)",painter,Italian,https://www.wga.hu/bio/a/ademollo/biograph.html
"ADLER, Salomon","(b. 1630, Danzig, d. 1709, Milano)",painter,German,https://www.wga.hu/bio/a/adler/biograph.html
"ADOLPHI, Christoffel","(b. ca. 1631, Augusburg, d. 1680, Amsterdam)",sculptor,Dutch,https://www.wga.hu/bio/a/adolphi/biograph.html
"ADRIAENSSEN, Alexander","(b. 1587, Antwerpen, d. 1661, Antwerpen)",painter,Flemish,https://www.wga.hu/bio/a/adriaens/biograph.html
ADRIANO FIORENTINO,"(b. ca. 1455, Firenze, d. 1499, Firenze)",sculptor,Italian,https://www.wga.hu/bio/a/adriano/biograph.html
"AELST, Willem van","(b. 1627, Delft, d. ca. 1683, Amsterdam)",painter,Dutch,https://www.wga.hu/bio/a/aelst/biograph.html
"AENVANCK, Theodoor","(b. 1633, Antwerpen, d. 1690, Antwerpen)",painter,Flemish,https://www.wga.hu/bio/a/aenvanck/biograph.html
AERT VAN ORT,(active 1490-1536),glass painter,Flemish,https://www.wga.hu/bio/a/aert/biograph.html
"AERTSEN, Pieter","(b. 1508, Amsterdam, d. 1575, Amsterdam)",painter,Netherlandish,https://www.wga.hu/bio/a/aertsen/biograph.html
"AGABITI, Pietro Paolo","(b. ca. 1470, Sassoferato, d. ca. 1540, Cupramontana)",painter,Italian,https://www.wga.hu/bio/a/agabiti/biograph.html
"AGASSE, Jacques-Laurent","(b. 1767, Geneve, d. 1849, London)",painter,Swiss,https://www.wga.hu/bio/a/agasse/biograph.html
AGNOLO DI POLO,"(b. ca. 1470, Firenze, d. after 1498)",sculptor,Italian,https://www.wga.hu/bio/a/agnolo/biograph.html
AGNOLO DI VENTURA,(active 1311-1349 in Siena),sculptor,Italian,https://www.wga.hu/bio/a/agnol/biograph.html
AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",sculptor,Italian,https://www.wga.hu/bio/a/agostin/biograph.html
AGOSTINO DI GIOVANNI,(active 1310-1347 in Siena),sculptor,Italian,https://www.wga.hu/bio/a/agostino/biograph.html
"AGRATE, Gian Francesco Ferrari d'","(b. 1489, Parma, d. ca. 1563, Parma)",sculptor,Italian,https://www.wga.hu/bio/a/agrate/biograph.html
"AGRESTI, Livio","(b. 1505, Forli, d. 1579, Roma)",painter,Italian,https://www.wga.hu/bio/a/agresti/biograph.html
"AGUADO LÓPEZ, Antonio","(b. 1764, Sangüesa, d. 1831, Sangüesa)",architect,Spanish,https://www.wga.hu/bio/a/aguado/biograph.html
"AIMO, Domenico","(b. ca. 1465, Varignana, d. 1539, Bologna)",sculptor,Italian,https://www.wga.hu/bio/a/aimo/biograph.html
"AIVAZOVSKY, Ivan Konstantinovich","(b. 1817, Feodosiya, d. 1900, Feodosiya)",painter,Russian,https://www.wga.hu/bio/a/aivazovs/biograph.html
"AKEN, Joseph van","(b. ca. 1699, Antwerpen, d. 1749, London)",painter,Flemish,https://www.wga.hu/bio/a/aken/biograph.html
"AKOTANTOS, Angelos",(died before 1457),painter,Greek,https://www.wga.hu/bio/a/akotanto/biograph.html
"ALBA, Macrino d'","(b. ca. 1460, Alba, d. ca. 1528, Alba)",painter,Italian,https://www.wga.hu/bio/a/alba/biograph.html
"ALBANI, Francesco","(b. 1578, Bologna, d. 1660, Bologna)",painter,Italian,https://www.wga.hu/bio/a/albani/biograph.html
"ALBEREGNO, Jacobello",(died before1397 in Venice),painter,Italian,https://www.wga.hu/bio/a/alberegn/biograph.html
"ALBERTI, Antonio","(b. ca. 1390, Ferrara, d. ca. 1442, Urbino)",painter,Italian,https://www.wga.hu/bio/a/albert/biograph.html
"ALBERTI, Cherubino","(b. 1553, Borgo San Sepolcro, d. 1615, Roma)",painter,Italian,https://www.wga.hu/bio/a/alberti1/cherubin/biograph.html
"ALBERTI, Giovanni","(b. 1558, Borgo San Sepolcro, d. 1601, Roma)",painter,Italian,https://www.wga.hu/bio/a/alberti1/giovanni/biograph.html
"ALBERTI, Leon Battista","(b. 1404, Genova, d. 1472, Roma)",architect,Italian,https://www.wga.hu/bio/a/alberti/biograph.html
"ALBERTINELLI, Mariotto","(b. 1474, Firenze, d. 1515, Firenze)",painter,Italian,https://www.wga.hu/bio/a/albertin/biograph.html
